Team,GoalsFor,Points,PointsPerGoal
Arsenal,91,89,0.978021978021978
Aston Villa,76,68,0.8947368421052632
Bournemouth,54,48,0.8888888888888888
Brentford,56,39,0.6964285714285714
Brighton,55,48,0.8727272727272727
Burnley,41,24,0.5853658536585366
Chelsea,77,63,0.8181818181818182
Crystal Palace,57,49,0.8596491228070176
Everton,40,48,1.2
Fulham,55,47,0.8545454545454545
Liverpool,86,82,0.9534883720930233
Luton,52,26,0.5
Man City,96,91,0.9479166666666666
Man United,57,60,1.0526315789473684
Newcastle,85,60,0.7058823529411765
Nott'm Forest,49,36,0.7346938775510204
Sheffield United,35,16,0.45714285714285713
Tottenham,74,66,0.8918918918918919
West Ham,60,52,0.8666666666666667
Wolves,50,46,0.92
