Team,Matches,Points,Wins,Draws,Losses,GoalsFor,GoalsAgainst,Shots,ShotsOnTarget,Corners,CleanSheets,GoalDiff
Man City,38,91,28,7,3,96,34,690,278,282,13,62
Arsenal,38,89,28,5,5,91,29,657,227,256,18,62
Liverpool,38,82,24,10,4,86,41,790,277,287,10,45
Aston Villa,38,68,20,8,10,76,61,514,190,233,8,15
Tottenham,38,66,20,6,12,74,61,582,214,235,7,13
Chelsea,38,63,18,9,11,77,63,548,215,203,8,14
Newcastle,38,60,18,6,14,85,62,551,213,193,10,23
Man United,38,60,18,6,14,57,58,550,193,226,9,-1
West Ham,38,52,14,10,14,60,74,450,150,168,5,-14
Crystal Palace,38,49,13,10,15,57,58,456,169,178,10,-1
Brighton,38,48,12,12,14,55,62,562,208,206,6,-7
Everton,38,48,13,9,16,40,51,507,162,185,13,-11
Bournemouth,38,48,13,9,16,54,67,542,185,236,9,-13
Fulham,38,47,13,8,17,55,61,500,178,212,10,-6
Wolves,38,46,13,7,18,50,65,427,159,158,5,-15
Brentford,38,39,10,9,19,56,65,473,172,185,7,-9
Nott'm Forest,38,36,9,9,20,49,67,451,148,148,4,-18
Luton,38,26,6,8,24,52,85,431,141,204,2,-33
Burnley,38,24,5,9,24,41,78,433,142,181,2,-37
Sheffield United,38,16,3,7,28,35,104,368,129,142,1,-69
